name_lower	name	canonical	known_chain	count
destacamento policial	Destacamento Policial			29
marriott residence inn	Marriott Residence Inn			29
магазин разливного пива	Магазин разливного пива			29
railway tavern	Railway Tavern			29
gzella	Gzella			29
brook house	Brook House			29
express market	Express Market			29
the shop	The Shop			29
jack wills	Jack Wills			29
kápolna	Kápolna			29
alpet	Alpet			29
aspen	Aspen			29
ktc	KTC			29
chapelle saint-jacques	Chapelle Saint-Jacques			29
boyes	Boyes			29
fashion bug	Fashion Bug			29
salt bed	Salt Bed			29
cottonwood school	Cottonwood School			29
kindercare learning center	KinderCare Learning Center			29
national australia bank	National Australia Bank			29
toolstation	Toolstation			29
philtrust bank	Philtrust Bank			29
bar plaza	Bar Plaza			29
clayton cemetery	Clayton Cemetery			29
collège jacques prévert	Collège Jacques Prévert			29
hillside church	Hillside Church			29
morning star cemetery	Morning Star Cemetery			29
аметист	Аметист			29
presto pizza	Presto Pizza			29
new prospect cemetery	New Prospect Cemetery			29
すき屋	すき屋			29
st. ursula	St. Ursula			29
olimp	Olimp			29
sv. mikuláš	sv. Mikuláš			29
jardín de infantes	Jardín de Infantes			29
jimmy john's gourmet sandwiches	Jimmy John's Gourmet Sandwiches			29
bloco n	Bloco N			29
la boulangerie	La Boulangerie			29
спортшкола	Спортшкола			29
finish line	Finish Line			29
тандем	Тандем			29
orchidee	Orchidee			29
coal	Coal			29
west side park	West Side Park			29
osborne cemetery	Osborne Cemetery			29
wolle rödel	Wolle Rödel			29
cambridge	Cambridge			29
saint-michel	Saint-Michel			29
pratt cemetery	Pratt Cemetery			29
rouge - village - les valozières	Rouge - Village - Les Valozières			29
gebäude c	Gebäude C			29
gebäude d	Gebäude D			29
chocolat	Chocolat			29
八剣伝	八剣伝			29
evang. kindergarten	Evang. Kindergarten			29
детский сад №70	Детский сад №70			29
детский сад №74	Детский сад №74			29
good hope school (historical)	Good Hope School (historical)			29
polizia	Polizia			29
kloster	Kloster			29
etető	Etető			29
parsons cemetery	Parsons Cemetery			29
the moorings	The Moorings			29
northside church of christ	Northside Church of Christ			29
universitätsbibliothek	Universitätsbibliothek			29
ファッションセンターしまむら	ファッションセンターしまむら			29
grove park	Grove Park			29
the bear	The Bear			29
339	339			29
sur	Sur			29
maison du monde	Maison du Monde			29
horn	Horn			29
ekoplaza	Ekoplaza			29
weinstube	Weinstube			29
16а	16а			29
электроподстанция	Электроподстанция			29
кредобанк	Кредобанк			29
latino	Latino			29
taylor pond wild forest	Taylor Pond Wild Forest			29
san jose elementary school	San Jose Elementary School			29
пышка	Пышка			29
хоум кредит банк	Хоум Кредит Банк			29
silobolsa	SiloBolsa			29
мой дом	Мой дом			29
bowls club	Bowls Club			29
brown chapel	Brown Chapel			29
fluxys	Fluxys			29
hubbardston state forest	Hubbardston State Forest			29
raiffeisen tankstelle	Raiffeisen Tankstelle			29
illy	Illy			29
dreieinigkeitskirche	Dreieinigkeitskirche			29
буратино	Буратино			29
grill house	Grill House			29
すみれ保育園	すみれ保育園			29
magnum	Magnum			29
lolita	Lolita			29
аттракционы	Аттракционы			29
közösségi ház	Közösségi Ház			29
zion lutheran school	Zion Lutheran School			29
드림마트 (deurim mart)	드림마트 (Deurim Mart)			29
piccola italia	Piccola Italia			29
bar du centre	Bar du Centre			29
boa	BOA			29
ひかり幼稚園	ひかり幼稚園			29
gebäude 1	Gebäude 1			29
saint andrew's church	Saint Andrew's Church			29
laboratoire d'analyse médicale	Laboratoire d'analyse médicale			29
stredná odborná škola	Stredná odborná škola			29
lifeguard	Lifeguard			29
турники	Турники			29
tijuana flats	Tijuana Flats			29
psychiatrie	Psychiatrie			29
saint pauls catholic church	Saint Pauls Catholic Church			29
öob	ÖoB			29
办公楼	办公楼			29
alte feuerwache	Alte Feuerwache			29
bank of queensland	Bank of Queensland			29
beauty salon	Beauty Salon			29
